run_id,case,Gamma,lambda_R,reused,timing_provenance,t_instance_load_seconds,t_reuse_validation_seconds,t_core_prb_seconds,t_exact_certification_seconds,t_post_evaluation_seconds,t_reporting_seconds,t_artifact_write_seconds,t_total_runner_wallclock_seconds
E7-210323-G4-L0500,210323,4,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0014680000022053719,5.513000199993257,0.0,0.0,0.0,0.0020300000032875687,0.003264600003603846,5.611609300001874
E7-210323-G4-L2000,210323,4,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0024139000015566126,5.335384000005433,12.32257629999367,0.8803669000044465,2613.4646072999894,0.056963199996971525,0.0018803999992087483,2633.998921300008
E7-210428-G0-L0025,210428,0,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0023658999998588115,5.1662669999932405,0.21508180000819266,0.003788200003327802,0.012835499990615062,0.0576675000047544,0.0046282999974209815,5.610241499991389
E7-210428-G0-L0500,210428,0,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.003000099997734651,5.4379791999963345,0.0,0.0,0.0,0.0008095000084722415,0.0017853999888757244,5.540844799994375
E7-210428-G0-L2000,210428,0,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.001609599989023991,5.683415999999852,0.09307670000998769,0.006231599996681325,0.014785100007429719,0.0885924000031082,0.004029200004879385,6.038048200003686
E7-210428-G2-L0025,210428,2,0.0025,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0028568999987328425,5.596775400001206,0.0,0.0,0.0,0.0021413000067695975,0.002784500000416301,5.7385043999966
E7-210428-G2-L0500,210428,2,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0026448999997228384,5.596793299991987,0.0,0.0,0.0,0.002175099987653084,0.0028289000038057566,5.729365299994242
E7-210428-G2-L2000,210428,2,0.2,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0013747000048169866,5.40572450000036,0.0,0.0,0.0,0.0008969999908003956,0.0028214999911142513,5.505131199999596
E7-210428-G4-L0025,210428,4,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0025200999953085557,5.676679800002603,20.24520430000848,1.17898339999374,3492.166954900007,0.07037200000195298,0.0037198999925749376,3521.299557499995
E7-210428-G4-L0500,210428,4,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0015799999964656308,5.616915200007497,0.0,0.0,0.0,0.0017708000086713582,0.0023778000031597912,5.7137594999949215
E7-210428-G4-L2000,210428,4,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0014507000014418736,5.363684800002375,13.60979450000741,1.1155502000037814,3467.029895399988,0.06303959999058861,0.004695499999797903,3488.9523339000007
E7-210611-G0-L0025,210611,0,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0016697999963071197,5.395901799987769,0.2915196999965701,0.0036700000055134296,0.013734100008150563,0.05650199999217875,0.0047885999956633896,5.913747099999455
E7-210611-G0-L0500,210611,0,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.002925900000263937,5.195323000007193,0.0,0.0,0.0,0.0010076000035041943,0.0018277000053785741,5.298256800000672
E7-210611-G0-L2000,210611,0,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0028593000024557114,5.561092200005078,0.06865560000005644,0.004424899991136044,0.01934070000424981,0.08937149999837857,0.004938700003549457,5.878063600001042
E7-210611-G2-L0025,210611,2,0.0025,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.003050800005439669,5.314723800009233,0.0,0.0,0.0,0.0009254000033251941,0.0015328000008594245,5.406938700005412
E7-210611-G2-L0500,210611,2,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0031309000041801482,5.388322800004971,0.0,0.0,0.0,0.001167800000985153,0.002008900002692826,5.489137800002936
E7-210611-G2-L2000,210611,2,0.2,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.001223200000822544,5.46746919999714,0.0,0.0,0.0,0.0009756000072229654,0.0017667999927653,5.563568400000804
E7-210611-G4-L0025,210611,4,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0030678999901283532,5.439822300002561,24.146750000014435,1.2091501999966567,3616.8682610999967,0.07731979999516625,0.005101300004753284,3649.700822400002
E7-210611-G4-L0500,210611,4,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0012089000083506107,5.420814700002666,0.0,0.0,0.0,0.0008834000036586076,0.0037523999926634133,5.536969399996451
E7-210611-G4-L2000,210611,4,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0030792999896220863,5.488264100000379,13.368694600008894,1.211537800001679,3646.268753700002,0.07318460001260974,0.0021865000016987324,3668.172229799995
