case,gamma,beta,lambda_r,status,certified,objective,exact_objective,objective_difference,first_stage_expenditure,first_stage_difference,robust_recourse,robust_recourse_difference,y_identical,maximum_x_difference,fr_min_robust,fr_min_difference,worst_scenario,worst_region,average_fill_rate,iterations,master_solve_count,product_subproblem_evaluations,product_pattern_evaluations,unique_product_cuts,cuts_by_product,cuts_by_gamma,final_lb,final_ub,final_gap,total_runtime_seconds,master_runtime_seconds,separation_runtime_seconds,certification_runtime_seconds,global_coupling_error,exact_certification
210202,0,1.1,0.05,OPTIMAL,True,108999.13573275975,108999.13573275977,1.4551915228366852e-11,84614.30513135392,1.4551915228366852e-11,24384.83060140584,1.0913936421275139e-11,True,1.3358203432289883e-12,0.7946773732424298,1.3470335957777024e-12,,12,0.9828897811035356,13,13,112,112,71,"[8, 12, 11, 11, 10, 9, 4, 6]",[71],108999.13573275978,108999.13573275975,0.0,0.21669579995796084,0.1401774005498737,0.04975059977732599,0.0031780998688191175,1.4551915228366852e-11,True
210202,0,1.1,0.2,OPTIMAL,True,108999.13573275978,108999.13573275977,1.4551915228366852e-11,84614.30513135395,1.4551915228366852e-11,24384.830601405833,1.8189894035458565e-11,True,3.552713678800501e-13,0.7946773732410815,1.3322676295501878e-15,,12,0.9828897811034228,8,8,72,72,42,"[4, 7, 6, 7, 6, 5, 3, 4]",[42],108999.13573275978,108999.13573275978,0.0,0.12183089996688068,0.07067709998227656,0.030667799757793546,0.003025899874046445,2.1827872842550278e-11,True
210202,1,0.9,0.0,OPTIMAL,True,134054.09596896137,134054.09596896154,1.7462298274040222e-10,76152.87461821851,1.4551915228366852e-11,57901.22135074284,2.0372681319713593e-10,True,2.442945401526231e-09,0.5625817630688865,6.512568262451168e-13,1:BAC-O-6433,12,0.9312605871240126,45,45,736,4784,382,"[2, 72, 39, 38, 42, 45, 81, 63]","[274, 108]",134054.09596896145,134054.09596896137,0.0,3.7902211998589337,2.6974256003741175,0.9481361000798643,0.017927000066265464,8.731149137020111e-11,True
210202,1,0.9,0.0025,OPTIMAL,True,134468.0835485143,134468.08354851385,4.3655745685100555e-10,76152.87461821854,1.0186340659856796e-10,58315.20893029575,5.238689482212067e-10,True,1.467594773225885e-10,0.5607502993844153,8.01581023779363e-14,1:BAC-O-6433,12,0.9311079651502885,26,26,432,2808,199,"[2, 46, 21, 26, 28, 25, 27, 24]","[139, 60]",134468.08354851446,134468.0835485143,0.0,1.4548790000844747,0.7675150001887232,0.5605728004593402,0.019098599907010794,1.8917489796876907e-10,True
210202,1,0.9,0.05,OPTIMAL,True,138154.90337416044,138154.90337415956,8.731149137020111e-10,76152.87461821851,8.731149137020111e-11,62002.028755941916,9.604264050722122e-10,True,2.8437217307573375e-11,0.55598019536629,1.1324274851176597e-14,1:BAC-O-6433,12,0.9307104564821226,11,11,192,1248,68,"[2, 16, 11, 10, 10, 6, 7, 6]","[48, 20]",138154.90337416047,138154.90337416044,0.0,0.618698799982667,0.282322900602594,0.22637390019372106,0.020451599964872003,7.275957614183426e-12,True
210202,1,0.9,0.2,OPTIMAL,True,152430.13896011352,152430.1389601135,2.9103830456733704e-11,76152.87461821857,2.9103830456733704e-11,76277.26434189496,4.3655745685100555e-11,True,1.0032863428932615e-11,0.4501697848246271,8.382183835919932e-14,1:BAC-O-6433,12,0.907869139037771,9,9,160,1040,44,"[2, 12, 5, 3, 4, 6, 6, 6]","[28, 16]",152430.13896011346,152430.13896011352,3.8186451387214597e-16,0.49528460018336773,0.20192020013928413,0.18935390003025532,0.01763710007071495,5.820766091346741e-11,True
210202,1,1.0,0.0,OPTIMAL,True,113164.57123020472,113164.57123020572,1.0040821507573128e-09,84564.42143900823,2.750311978161335e-09,28600.149791196487,1.735315890982747e-09,True,1.0428415464502905e-08,0.7496847464569651,2.0445867221496883e-12,1:BAC-O-6433,12,0.9791403955380805,48,48,784,5096,411,"[59, 64, 40, 36, 35, 51, 60, 66]","[274, 137]",113164.57123020789,113164.57123020472,0.0,3.1059958999976516,1.8987147007137537,1.0556271004024893,0.018449699971824884,3.1468516681343317e-09,True
210202,1,1.0,0.0025,OPTIMAL,True,113171.08454223053,113171.0845422307,1.7462298274040222e-10,84568.05888064309,1.4551915228366852e-11,28603.02566158744,1.7826096154749393e-10,True,9.377032483826042e-11,0.7496286981455562,6.23945339839338e-13,1:BAC-O-6433,12,0.979135724845463,27,27,448,2912,242,"[45, 50, 29, 28, 25, 25, 17, 23]","[167, 75]",113171.08454223067,113171.08454223053,0.0,1.5411349998321384,0.7968048995826393,0.6099875003565103,0.01992389978840947,1.4915713109076023e-10,True
210202,1,1.0,0.05,OPTIMAL,True,113204.13219122177,113204.13219122177,0.0,84591.58151182716,5.820766091346741e-11,28612.550679394615,4.729372449219227e-11,True,1.3602630133391358e-10,0.7495539535660215,3.4006131244268545e-13,1:BAC-O-6433,12,0.9791294961305018,15,15,256,1664,112,"[14, 24, 11, 16, 14, 9, 13, 11]","[75, 37]",113204.13219122165,113204.13219122177,1.0283663641384466e-15,0.7269621999002993,0.2890248999465257,0.3186084006447345,0.020236599957570434,1.2732925824820995e-10,True
210202,1,1.0,0.2,OPTIMAL,True,113260.49201003087,113260.49201003119,3.2014213502407074e-10,84614.30513135393,2.9103830456733704e-11,28646.18687867694,2.6193447411060333e-10,True,1.0174971976084635e-11,0.7491944151620826,1.9180212973424204e-12,1:BAC-O-6433,12,0.9790995345968402,9,9,160,1040,75,"[6, 16, 10, 8, 8, 5, 11, 11]","[48, 27]",113260.49201003087,113260.49201003087,0.0,0.4243805999867618,0.12255450035445392,0.1984105003066361,0.021819200133904815,0.0,True
