case,gamma,beta,lambda_r,status,objective,best_bound,mip_gap,runtime_seconds,node_count,scenario_count,variable_count,constraint_count,nonzero_count,peak_memory_gb,method,budget,activation_cost,final_inventory_cost,reconfiguration_cost,first_stage_expenditure,budget_slack,budget_utilization,robust_recourse_cost,total_inventory,active_depot_count,ri,ri_from_adjustments,rs,active_depot_changes,first_stage_accounting_error,objective_accounting_error,reconfiguration_identity_error,simultaneous_positive_adjustment_pairs,direct_robust_recourse_difference,error_message
210628,0,0.9,0.05,OPTIMAL,80322.65321134121,80322.65321134121,0.0,0.05900001525878906,1.0,1,1928,489,5871,,factorized_exact_extensive_form,45502.368940917746,2233.4983588470473,42831.99371525149,436.8768668189849,45502.36894091754,2.0372681319713593e-10,0.9999999999999956,34820.28427042368,3231.361817614342,9,0.3268647536565239,0.32686475365651013,0.009601189498204914,4,1.4551915228366852e-11,1.4551915228366852e-11,4.888534022029489e-11,0,5.602487362921238e-10,
210628,0,0.9,0.2,OPTIMAL,87708.05710911946,87708.05710911946,0.0,0.0839998722076416,3.0,1,1928,489,5871,,factorized_exact_extensive_form,45502.368940917746,2619.8424123367477,41634.07234518118,1248.454183399769,45502.368940917666,8.003553375601768e-11,0.9999999999999982,42205.688168201756,3159.9314920367215,10,0.11377539236988911,0.11377539236988904,0.02743712497740098,3,2.9103830456733704e-11,3.637978807091713e-11,1.865174681370263e-13,0,0.0,
210628,0,1.0,0.0,OPTIMAL,66869.30330181486,66869.30330181486,0.0,0.019999980926513672,1.0,1,1928,489,5631,,factorized_exact_extensive_form,50558.18771213083,2803.041375928112,47755.146336202735,0.0,50558.18771213084,-1.4551915228366852e-11,1.0000000000000002,16311.115589684001,3547.1923076923076,13,9.5335663805842e-16,9.5335663805842e-16,0.0,0,7.275957614183426e-12,1.2732925824820995e-11,0.0,0,1.8189894035458565e-12,
210628,0,1.0,0.0025,OPTIMAL,66869.3033018148,66869.3033018148,0.0,0.02500009536743164,1.0,1,1928,489,5871,,factorized_exact_extensive_form,50558.18771213083,2803.041375928112,47755.14633620267,0.0,50558.187712130784,4.3655745685100555e-11,0.9999999999999991,16311.115589684021,3547.1923076922917,13,2.3187786784156563e-14,0.0,0.0,0,0.0,7.275957614183426e-12,2.1402435379513918e-11,0,1.8189894035458565e-11,
210628,0,1.0,0.05,OPTIMAL,66869.30330181486,66869.30330181486,0.0,0.029000043869018555,1.0,1,1928,489,5871,,factorized_exact_extensive_form,50558.18771213083,2803.041375928112,47755.146336202735,0.0,50558.18771213085,-2.1827872842550278e-11,1.0000000000000004,16311.115589684006,3547.1923076923085,13,2.9621034873883414e-16,0.0,0.0,0,0.0,0.0,2.7000623958883807e-13,0,3.637978807091713e-12,
210628,0,1.0,0.2,OPTIMAL,66869.30330181486,66869.30330181486,0.0,0.01900005340576172,1.0,1,1928,489,5871,,factorized_exact_extensive_form,50558.18771213083,2803.041375928112,47755.146336202735,0.0,50558.18771213085,-2.1827872842550278e-11,1.0000000000000004,16311.115589684005,3547.1923076923076,13,1.0190837864472147e-16,0.0,0.0,0,0.0,1.8189894035458565e-12,1.865174681370263e-13,0,1.8189894035458565e-12,
210628,0,1.1,0.0,OPTIMAL,66869.30330181486,66869.30330181486,0.0,0.026000022888183594,1.0,1,1928,489,5631,,factorized_exact_extensive_form,55614.00648334392,2803.041375928112,47755.146336202735,0.0,50558.18771213084,5055.818771213075,0.9090909090909093,16311.115589684005,3547.1923076923076,13,9.62026361917323e-16,9.62026361917323e-16,0.0,0,7.275957614183426e-12,9.094947017729282e-12,0.0,0,1.8189894035458565e-12,
210628,0,1.1,0.0025,OPTIMAL,66869.30330181486,66869.30330181484,0.0,0.03399991989135742,1.0,1,1928,489,5871,,factorized_exact_extensive_form,55614.00648334392,2803.041375928112,47755.146336202735,0.0,50558.18771213084,5055.818771213075,0.9090909090909093,16311.115589684001,3547.192307692308,13,8.039995180054069e-16,0.0,0.0,0,7.275957614183426e-12,1.2732925824820995e-11,8.242295734817162e-13,0,1.8189894035458565e-12,
210628,0,1.1,0.05,OPTIMAL,66869.30330181486,66869.30330181486,0.0,0.026000022888183594,1.0,1,1928,489,5871,,factorized_exact_extensive_form,55614.00648334392,2803.041375928112,47755.146336202735,0.0,50558.18771213084,5055.818771213075,0.9090909090909093,16311.115589684005,3547.192307692308,13,2.2710294700433014e-16,0.0,0.0,0,7.275957614183426e-12,9.094947017729282e-12,2.7000623958883807e-13,0,1.8189894035458565e-12,
210628,0,1.1,0.2,OPTIMAL,66869.30330181486,66869.30330181486,0.0,0.01900005340576172,1.0,1,1928,489,5871,,factorized_exact_extensive_form,55614.00648334392,2803.041375928112,47755.146336202735,0.0,50558.18771213085,5055.8187712130675,0.9090909090909094,16311.115589684005,3547.1923076923076,13,1.0190837864472147e-16,0.0,0.0,0,0.0,1.8189894035458565e-12,1.865174681370263e-13,0,1.8189894035458565e-12,
