case,depot_id,product_id,x0,inventory_upper_bound,rhoUB,ub_zero,compatible,absolute_excess
210628,91017200,BAC-O-4312,0.0,308.7452963439892,0.0,no,yes,0.0
210628,91017200,BAC-O-4325,0.0,459.44240527379344,0.0,no,yes,0.0
210628,91017200,BAC-O-6423,0.0,459.44240527379344,0.0,no,yes,0.0
210628,91017200,BAC-O-6433,0.0,612.5898736983913,0.0,no,yes,0.0
210628,91017200,CON-S-0130,0.0,587.0423076923078,0.0,no,yes,0.0
210628,91017200,SLI---0770,0.0,649.35,0.0,no,yes,0.0
210628,91017200,SLI---1200,0.0,324.4153846153846,0.0,no,yes,0.0
210628,91017300,BAC---1041,0.0,346.63846153846157,0.0,no,yes,0.0
210628,91017300,BAC-O-4312,0.0,322.0269230769231,0.0,no,yes,0.0
210628,91017300,BAC-O-4325,0.0,518.4000000000001,0.0,no,yes,0.0
210628,91017300,BAC-O-6423,0.0,576.5273554474664,0.0,no,yes,0.0
210628,91017300,BAC-O-6433,0.0,768.7031405966219,0.0,no,yes,0.0
210628,91017300,CON-S-0130,0.0,587.0423076923078,0.0,no,yes,0.0
210628,91017300,SLI---0770,0.0,649.35,0.0,no,yes,0.0
210628,91017300,SLI---1200,0.0,324.4153846153846,0.0,no,yes,0.0
210628,91017500,BAC---1041,0.0,142.89906560958505,0.0,no,yes,0.0
210628,91017500,BAC-O-4312,0.0,114.31925248766804,0.0,no,yes,0.0
210628,91017500,BAC-O-4325,0.0,170.11793524950602,0.0,no,yes,0.0
210628,91017500,BAC-O-6423,0.0,170.11793524950602,0.0,no,yes,0.0
210628,91017500,BAC-O-6433,0.0,226.82391366600802,0.0,no,yes,0.0
210628,91017500,CON-S-0130,0.0,357.2476640239626,0.0,no,yes,0.0
210628,91017500,SLI---0770,0.0,285.7981312191701,0.0,no,yes,0.0
210628,91017500,SLI---1200,0.0,160.56074787593826,0.0,no,yes,0.0
210628,91017600,BAC---1041,0.0,47.74440506141987,0.0,no,yes,0.0
210628,91017600,BAC-O-4312,0.0,38.19552404913589,0.0,no,yes,0.0
210628,91017600,BAC-O-4325,0.0,56.83857745407127,0.0,no,yes,0.0
210628,91017600,BAC-O-6423,0.0,56.83857745407127,0.0,no,yes,0.0
210628,91017600,BAC-O-6433,0.0,75.7847699387617,0.0,no,yes,0.0
210628,91017600,CON-S-0130,0.0,119.36101265354966,0.0,no,yes,0.0
210628,91017600,SLI---0770,0.0,95.48881012283974,0.0,no,yes,0.0
210628,91017600,SLI---1200,0.0,53.64539894541558,0.0,no,yes,0.0
210628,9624708,BAC---1041,0.0,8.604351547870488,0.0,no,yes,0.0
210628,9624708,BAC-O-4312,0.0,6.883481238296391,0.0,no,yes,0.0
210628,9624708,BAC-O-4325,0.0,10.243275652226773,0.0,no,yes,0.0
210628,9624708,BAC-O-6423,0.0,10.243275652226773,0.0,no,yes,0.0
210628,9624708,BAC-O-6433,0.0,13.657700869635697,0.0,no,yes,0.0
210628,9624708,CON-S-0130,0.0,21.510878869676223,0.0,no,yes,0.0
210628,9624708,SLI---0770,0.0,17.208703095740976,0.0,no,yes,0.0
210628,9624708,SLI---1200,0.0,9.667810727944369,0.0,no,yes,0.0
