row_type,method,fold_a,fold_b,top5_a,top5_b,intersection_size,union_size,jaccard_overlap,average_jaccard,minimum_jaccard,maximum_jaccard
fold_pair,gradient_boosting_full,210129,210323,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|transport_cost_cv,Gamma|beta|incumbent_inventory_concentration_across_depots|mean_transport_cost|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,gradient_boosting_full,210129,210330,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|transport_cost_cv,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,gradient_boosting_full,210129,210428,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|transport_cost_cv,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,gradient_boosting_full,210129,210611,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|transport_cost_cv,Gamma|beta|capacity_slack_ratio|incumbent_inventory_concentration_across_depots|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,gradient_boosting_full,210129,210628,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|transport_cost_cv,Gamma|beta|capacity_slack_ratio|incumbent_inventory_concentration_across_depots|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,gradient_boosting_full,210202,210310,Gamma|beta|incumbent_inventory_concentration_across_depots|inventory_to_nominal_demand_ratio|mean_transport_cost,Gamma|beta|capacity_slack_ratio|demand_density|transport_cost_cv,2,8,0.25,,,
fold_pair,gradient_boosting_full,210202,210323,Gamma|beta|incumbent_inventory_concentration_across_depots|inventory_to_nominal_demand_ratio|mean_transport_cost,Gamma|beta|incumbent_inventory_concentration_across_depots|mean_transport_cost|transport_cost_cv,4,6,0.6666666666666666,,,
fold_pair,gradient_boosting_full,210202,210330,Gamma|beta|incumbent_inventory_concentration_across_depots|inventory_to_nominal_demand_ratio|mean_transport_cost,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,gradient_boosting_full,210202,210428,Gamma|beta|incumbent_inventory_concentration_across_depots|inventory_to_nominal_demand_ratio|mean_transport_cost,Gamma|beta|capacity_slack_ratio|inventory_to_nominal_demand_ratio|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,gradient_boosting_full,210202,210611,Gamma|beta|incumbent_inventory_concentration_across_depots|inventory_to_nominal_demand_ratio|mean_transport_cost,Gamma|beta|capacity_slack_ratio|incumbent_inventory_concentration_across_depots|transport_cost_cv,3,7,0.42857142857142855,,,
